datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions
2021-12-01T00:00:00,35.1,35.1,22.9,60.88,0,0,,0,0,,0,0,1018.4,92.3,9.9,,,,,Overcast
2021-12-01T01:00:00,35.8,35.8,24.1,62.16,0,0,,0,0,,0,0,1018.1,96.1,9.9,,,,,Overcast
2021-12-01T02:00:00,36,36,25,63.8,0,0,,0,0,,0.2,9,1017.9,99.2,9.9,,,,,Overcast
2021-12-01T03:00:00,37.1,37.1,26,63.87,0,0,,0,0,,0,0,1018.1,99.2,9.9,,,,,Overcast
2021-12-01T04:00:00,37.8,34.4,26.8,64.35,0,0,,0,0,,4.5,151,1016.8,100,9.9,,,,,Overcast
2021-12-01T05:00:00,38.7,33.8,30.4,71.76,0,0,,0,0,,6.7,158,1016.6,96.1,9.9,,,,,Overcast
2021-12-01T06:00:00,40.6,36.2,30.5,67.06,0,0,,0,0,,6.4,134,1015.7,100,9.9,,,,,Overcast
2021-12-01T07:00:00,40.8,36.4,31.7,69.77,0,0,,0,0,,6.5,163,1015.7,100,9.9,2,0,0,,Overcast
2021-12-01T08:00:00,41,35.9,31.7,69.41,0,0,,0,0,,7.7,155,1015.5,100,9.9,18,0.1,0,,Overcast
2021-12-01T09:00:00,42.2,37.7,33,69.45,0,0,,0,0,,7.2,170,1014.7,99.2,8.9,59,0.2,1,,Overcast
2021-12-01T10:00:00,44.1,37.5,36.8,75.35,0,0,,0,0,21.9,13.6,191,1013.3,85.6,9.9,210,0.8,2,,Partially cloudy
2021-12-01T11:00:00,45.2,39.5,38.8,78.41,0,0,,0,0,24.2,11.6,201,1012.6,100,9.9,77,0.3,1,,Overcast
2021-12-01T12:00:00,45.2,39,38.8,78.41,0,0,,0,0,20.4,12.9,209,1011.7,100,9.9,46,0.2,0,,Overcast
2021-12-01T13:00:00,45.1,39.8,38.9,78.76,0,0,,0,0,,10.3,201,1011.1,100,9.9,43,0.2,0,,Overcast
2021-12-01T14:00:00,47.1,41.5,39.8,75.72,0,0,,0,0,21.9,12.7,189,1009.6,86.2,9.9,131,0.5,1,,Partially cloudy
2021-12-01T15:00:00,47.1,42.3,39.7,75.45,0,0,,0,0,23,10.3,208,1008.7,100,9.9,50,0.2,1,,Overcast
2021-12-01T16:00:00,46.3,42.6,40.9,81.18,0,0,,0,0,,7.2,201,1009.4,94.4,8.7,20,0.1,0,,Overcast
2021-12-01T17:00:00,46.2,42.7,40.9,81.54,0,0,,0,0,,6.9,209,1009.4,92.3,9.8,1,0,0,,Overcast
2021-12-01T18:00:00,46.2,42.1,42,85.21,0,0,,0,0,,8.1,201,1009.1,92.3,8.7,,,,,Overcast
2021-12-01T19:00:00,47.8,43,43,83.39,0,0,,0,0,,11,209,1008.5,92.3,9.7,,,,,Overcast
2021-12-01T20:00:00,47.9,43.1,43,83.02,0,0,,0,0,,11.2,209,1008.2,82.3,9.8,,,,,Partially cloudy
2021-12-01T21:00:00,47.2,41.8,42.1,82.34,0,0,,0,0,25.3,12.5,219,1007.5,82.3,9.9,,,,,Partially cloudy
2021-12-01T22:00:00,48.7,43.4,41,74.43,0,0,,0,0,22.9,13.5,219,1007.1,81.8,9.9,,,,,Partially cloudy
2021-12-01T23:00:00,48,42.7,39.8,73.08,0,0,,0,0,21.9,12.7,219,1006.2,81.8,9.9,,,,,Partially cloudy
2021-12-02T00:00:00,48.9,43.1,38.8,67.98,0,0,,0,0,25.3,15.7,221,1004.9,81.8,9.9,,,,,Partially cloudy
2021-12-02T01:00:00,51.2,51.2,37.1,58.39,0,0,,0,0,31.6,17.8,231,1004.2,25.7,9.9,,,,,Partially cloudy
2021-12-02T02:00:00,50.1,50.1,37,60.63,0,0,,0,0,29.8,16,241,1003.7,81.8,9.9,,,,,Partially cloudy
2021-12-02T03:00:00,50.1,50.1,36.9,60.52,0,0,,0,0,28.3,15.7,250,1004,81.8,9.9,,,,,Partially cloudy
2021-12-02T04:00:00,49.1,43.6,36.9,62.62,0,0,,0,0,22.2,14.8,250,1004.1,92.3,9.9,,,,,Overcast
2021-12-02T05:00:00,50.1,50.1,37,60.58,0,0,,0,0,,12.5,242,1004.5,92.3,9.9,,,,,Overcast
2021-12-02T06:00:00,50.1,50.1,38.7,64.71,0,0,,0,0,,9,261,1004.9,100,9.9,,,,,Overcast
2021-12-02T07:00:00,50.1,50.1,38.8,64.99,0,0,,0,0,,8.2,241,1005.8,94.4,9.9,2,0,0,,Overcast
2021-12-02T08:00:00,50.1,50.1,39.7,67.37,0,0,,0,0,,8,251,1006.9,81.8,9.9,39,0.1,0,,Partially cloudy
2021-12-02T09:00:00,52.1,52.1,39.8,62.85,0,0,,0,0,,9.3,239,1007.5,81.8,9.9,101,0.4,1,,Partially cloudy
2021-12-02T10:00:00,55.2,55.2,39.4,55.25,0,0,,0,0,23,12.9,280,1008.4,81.8,9.9,166,0.6,2,,Partially cloudy
2021-12-02T11:00:00,57,57,34.7,42.94,0,0,,0,0,24.6,14.3,284,1008.8,81.8,9.9,149,0.5,1,,Partially cloudy
2021-12-02T12:00:00,57,57,29.3,34.46,0,0,,0,0,27.7,16.9,318,1009.3,81.8,9.9,176,0.6,2,,Partially cloudy
2021-12-02T13:00:00,57,57,23.5,27.19,0,0,,0,0,32.1,21.5,318,1009.8,81.8,9.9,240,0.9,2,,Partially cloudy
2021-12-02T14:00:00,56.9,56.9,26.8,31.29,0,0,,0,0,24.5,12.7,318,1010.7,48.2,9.9,266,1,3,,Partially cloudy
2021-12-02T15:00:00,55.2,55.2,23,28.43,0,0,,0,0,24.2,14,320,1011.6,46.1,9.9,183,0.7,2,,Partially cloudy
2021-12-02T16:00:00,53.1,53.1,21.8,29.18,0,0,,0,0,,8.2,309,1012.8,25.7,9.9,38,0.1,0,,Partially cloudy
2021-12-02T17:00:00,50,49.1,21.8,32.73,0,0,,0,0,,3.6,302,1013.7,25.7,9.9,7,0,0,,Partially cloudy
2021-12-02T18:00:00,47,45.8,22.8,38.12,0,0,,0,0,,3.6,321,1015.2,24.5,9.9,,,,,Partially cloudy
2021-12-02T19:00:00,47.1,47.1,24.7,41.21,0,0,,0,0,,0.2,358,1015.6,81.8,9.9,,,,,Partially cloudy
2021-12-02T20:00:00,47,47,24,40.29,0,0,,0,0,,0.5,353,1016.1,81.8,9.9,,,,,Partially cloudy
2021-12-02T21:00:00,45.1,41.7,25,44.99,0,0,,0,0,,6.2,359,1016,81.8,9.9,,,,,Partially cloudy
2021-12-02T22:00:00,46,44.1,26,45.32,0,0,,0,0,,4.3,32,1016.3,100,9.9,,,,,Overcast
2021-12-02T23:00:00,45,45,27.3,49.59,0,0,,0,0,,0,0,1016.9,99.2,9.9,,,,,Overcast
2021-12-03T00:00:00,45.1,42,27.5,49.79,0,0,,0,0,,5.7,34,1016.8,100,9.9,,,,,Overcast
2021-12-03T01:00:00,45.1,45.1,27.5,49.88,0,0,,0,0,,0.5,12,1016.8,100,9.9,,,,,Overcast
2021-12-03T02:00:00,44.3,40.7,29.1,55,0,0,,0,0,,6.3,352,1017.5,100,9.9,,,,,Overcast
2021-12-03T03:00:00,44.1,42.6,29.3,55.68,0,0,,0,0,,3.4,17,1017.5,100,9.9,,,,,Overcast
2021-12-03T04:00:00,44.1,42.9,30.2,57.87,0,0,,0,0,,3.1,80,1017,100,9.9,,,,,Overcast
2021-12-03T05:00:00,44.2,41.6,34.2,67.73,0,0,,0,0,,4.7,91,1016.8,100,9.9,,,,,Overcast
2021-12-03T06:00:00,44.9,42.3,35,68.13,0,0,,0,0,,4.8,99,1017.1,100,9.9,,,,,Overcast
2021-12-03T07:00:00,44.1,39.6,36.8,75.38,0,0,,0,0,,7.9,53,1017.7,96.8,9.9,2,0,0,,Overcast
2021-12-03T08:00:00,44.1,38.8,37.7,78.05,0,0,,0,0,,9.8,72,1017.7,89.5,9.9,13,0,0,,Partially cloudy
2021-12-03T09:00:00,45,41.2,38.4,77.57,0,0,,0,0,,6.9,73,1018.3,88.7,9.9,60,0.2,1,,Partially cloudy
2021-12-03T10:00:00,46.1,41.2,38.4,74.19,0,0,,0,0,,10.1,93,1017.7,85.6,9.9,156,0.6,2,,Partially cloudy
2021-12-03T11:00:00,47.8,44.5,33.4,57.35,0,0,,0,0,,7.1,88,1017.4,99.4,9.9,129,0.5,1,,Overcast
2021-12-03T12:00:00,48,44.3,34.2,58.79,0,0,,0,0,,8,89,1016.4,89.5,9.9,163,0.6,2,,Partially cloudy
2021-12-03T13:00:00,49.7,46.4,33.4,53.11,0,0,,0,0,,8.1,69,1015.2,88.7,9.9,209,0.8,2,,Partially cloudy
2021-12-03T14:00:00,48.8,45.7,33.4,54.98,0,0,,0,0,,7.1,59,1015.3,89.5,9.9,120,0.4,1,,Partially cloudy
2021-12-03T15:00:00,47.9,44.7,35.9,63,0,0,,0,0,,7,76,1016.1,89.5,9.9,95,0.3,1,,Partially cloudy
2021-12-03T16:00:00,45.3,41.5,36,69.87,0,0,,0,0,,6.9,50,1016.8,50.3,9.9,18,0.1,0,,Partially cloudy
2021-12-03T17:00:00,43.2,37.8,37,78.38,0,0,,0,0,,9.7,30,1017.3,46.1,9.9,7,0,0,,Partially cloudy
2021-12-03T18:00:00,42,37.9,36.9,81.97,0,0,,0,0,,6.5,38,1017.6,24.5,9.9,1,0,0,,Partially cloudy
2021-12-03T19:00:00,41.9,37.6,37,82.4,0,0,,0,0,,6.8,29,1018.4,24.5,9.9,,,,,Partially cloudy
2021-12-03T20:00:00,41.1,35.6,37.1,85.46,0,0,,0,0,,8.8,360,1019.6,86.3,9.9,,,,,Partially cloudy
2021-12-03T21:00:00,40,33.8,37.1,89,0,0,,0,0,,9.9,358,1020,81.8,9.9,,,,,Partially cloudy
2021-12-03T22:00:00,38.1,33.7,35,88.43,0,0,,0,0,,5.7,351,1020.5,24.5,9.6,,,,,Partially cloudy
2021-12-03T23:00:00,38,33.5,34.1,85.52,0,0,,0,0,,5.8,338,1021.2,1.4,6.8,,,,,Clear
2021-12-04T00:00:00,37.1,31.8,33.2,85.52,0,0,,0,0,,6.8,331,1021.1,23.1,6.6,,,,,Partially cloudy
2021-12-04T01:00:00,36.1,31.1,32,85.06,0,0,,0,0,,6,342,1021.4,6.9,6.6,,,,,Clear
2021-12-04T02:00:00,34.3,27.3,31,87.5,0,0,,0,0,,8.7,347,1022.3,96.3,2.8,,,,,Overcast
2021-12-04T03:00:00,33.5,27.2,30.2,87.78,0,0,,0,0,,7.1,329,1022.7,100,5,,,,,Overcast
2021-12-04T04:00:00,33.2,29.1,30,87.58,0,0,,0,0,,4.4,303,1022.9,83.9,6,,,,,Partially cloudy
2021-12-04T05:00:00,32.1,28.8,29,88.27,0,0,,0,0,,3.4,245,1023.3,29.5,6.1,,,,,Partially cloudy
2021-12-04T06:00:00,32,26.4,29,88.59,0,0,,0,0,,5.7,271,1024.1,85.6,4.9,,,,,Partially cloudy
2021-12-04T07:00:00,32,26.3,28.1,85.55,0,0,,0,0,,5.8,265,1024.9,81.8,7.9,9,0,0,,Partially cloudy
2021-12-04T08:00:00,32.1,26.4,28.2,85.48,0,0,,0,0,,5.8,273,1025.5,81.8,8.1,44,0.2,0,,Partially cloudy
2021-12-04T09:00:00,36,29.1,28.1,72.6,0,0,,0,0,,9.3,321,1026,81.8,9.9,208,0.7,2,,Partially cloudy
2021-12-04T10:00:00,38,30.6,24,56.77,0,0,,0,0,,11.3,319,1026.7,95.6,9.9,159,0.6,2,,Overcast
2021-12-04T11:00:00,40,35,18.1,40.86,0,0,,0,0,,7.1,301,1026.2,89.5,9.9,200,0.7,2,,Partially cloudy
2021-12-04T12:00:00,41.2,34.9,13.8,32.36,0,0,,0,0,18.3,10.5,311,1026.1,89.5,9.9,240,0.9,2,,Partially cloudy
2021-12-04T13:00:00,41.2,34.9,8.9,26.05,0,0,,0,0,,10.5,320,1026,89.5,9.9,183,0.7,2,,Partially cloudy
2021-12-04T14:00:00,42.3,35.6,8.2,24.16,0,0,,0,0,17.2,12.4,304,1026.4,89.5,9.9,221,0.8,2,,Partially cloudy
2021-12-04T15:00:00,42.1,35.3,8,24.13,0,0,,0,0,,12.5,318,1026.6,89.5,9.9,106,0.4,1,,Partially cloudy
2021-12-04T16:00:00,41,36.9,5,22.03,0,0,,0,0,,6,336,1026.8,89.5,9.9,56,0.2,1,,Partially cloudy
2021-12-04T17:00:00,39.7,35.6,6.9,25.21,0,0,,0,0,,5.7,309,1026.6,89.5,9.9,5,0,0,,Partially cloudy
2021-12-04T18:00:00,38.9,36.5,7.2,26.3,0,0,,0,0,,3.6,292,1026.4,90.1,9.9,1,0,0,,Overcast
2021-12-04T19:00:00,39,35.6,8.9,28.45,0,0,,0,0,,4.7,283,1026.6,100,9.9,,,,,Overcast
2021-12-04T20:00:00,38.9,38.9,8.2,27.59,0,0,,0,0,,0.6,351,1026.4,100,9.9,,,,,Overcast
2021-12-04T21:00:00,38.1,35.6,10.9,32.15,0,0,,0,0,,3.5,321,1026.1,100,9.9,,,,,Overcast
2021-12-04T22:00:00,37.3,35.1,13.5,37.23,0,0,,0,0,,3.2,7,1025.9,100,9.9,,,,,Overcast
2021-12-04T23:00:00,37.3,33.8,11.8,34.5,0,0,,0,0,,4.5,28,1025.7,100,9.9,,,,,Overcast
2021-12-05T00:00:00,38,32.5,10.1,31.13,0,0,,0,0,,7.5,57,1024.7,100,9.9,,,,,Overcast
2021-12-05T01:00:00,38,32.4,12.1,34.01,0,0,,0,0,,7.5,59,1023.6,100,9.9,,,,,Overcast
2021-12-05T02:00:00,38.1,33.6,15.4,39.22,0,0,,0,0,,5.8,99,1022.9,100,9.9,,,,,Overcast
2021-12-05T03:00:00,39,33.4,20.1,46.11,0,0,,0,0,,8.1,100,1022.3,100,9.9,,,,,Overcast
2021-12-05T04:00:00,39,32.9,21.7,49.42,0,0,,0,0,,9.1,112,1021.7,100,9.9,,,,,Overcast
2021-12-05T05:00:00,39.1,31.2,22.7,51.48,0,0,,0,0,20.8,13.4,130,1020.9,100,9.9,,,,,Overcast
2021-12-05T06:00:00,38.2,29.9,20.9,49.54,0,0,,0,0,24.2,13.9,120,1019.2,100,9.9,,,,,Overcast
