,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
0,O'Hare Chicago,2021-11-01T00:00:00,39.8,34.5,29.7,66.84,0.0,0.0,,0.0,0.0,,7.7,260.0,1022.3,0.0,9.9,,,,,Clear,clear-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
1,O'Hare Chicago,2021-11-01T01:00:00,39.0,33.5,28.9,66.93,0.0,0.0,,0.0,0.0,,7.8,271.0,1022.7,0.0,9.9,,,,,Clear,clear-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
2,O'Hare Chicago,2021-11-01T02:00:00,38.2,32.9,28.9,68.76,0.0,0.0,,0.0,0.0,,7.1,281.0,1022.8,0.0,9.9,,,,,Clear,clear-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
3,O'Hare Chicago,2021-11-01T03:00:00,37.3,31.9,28.9,71.23,0.0,0.0,,0.0,0.0,,7.0,290.0,1023.2,0.0,9.9,,,,,Clear,clear-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
4,O'Hare Chicago,2021-11-01T04:00:00,37.2,31.9,28.9,71.76,0.0,0.0,,0.0,0.0,,6.8,291.0,1023.6,0.0,9.9,,,,,Clear,clear-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
5,O'Hare Chicago,2021-11-01T05:00:00,36.1,30.7,28.9,74.81,0.0,0.0,,0.0,0.0,,6.7,288.0,1024.3,0.0,9.9,,,,,Clear,clear-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
6,O'Hare Chicago,2021-11-01T06:00:00,36.0,31.2,28.1,72.68,0.0,0.0,,0.0,0.0,,5.7,281.0,1025.0,0.0,9.9,,,,,Clear,clear-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
7,O'Hare Chicago,2021-11-01T07:00:00,35.1,30.1,28.0,75.17,0.0,0.0,,0.0,0.0,,5.8,289.0,1025.4,24.5,9.9,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
8,O'Hare Chicago,2021-11-01T08:00:00,35.2,29.5,28.0,74.97,0.0,0.0,,0.0,0.0,,6.7,281.0,1025.9,46.1,9.9,37.0,0.1,0.0,,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
9,O'Hare Chicago,2021-11-01T09:00:00,37.2,32.7,28.1,69.17,0.0,0.0,,0.0,0.0,,5.7,277.0,1026.2,81.8,9.9,105.0,0.4,1.0,,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
10,O'Hare Chicago,2021-11-01T10:00:00,38.4,34.5,28.9,68.44,0.0,0.0,,0.0,0.0,,5.1,260.0,1026.8,48.2,9.9,213.0,0.8,2.0,,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
11,O'Hare Chicago,2021-11-01T11:00:00,43.2,38.5,28.0,54.66,0.0,0.0,,0.0,0.0,,8.0,262.0,1026.9,80.7,9.9,275.0,1.0,3.0,,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
12,O'Hare Chicago,2021-11-01T12:00:00,45.3,40.7,27.7,50.02,0.0,0.0,,0.0,0.0,22.2,8.7,265.0,1026.6,93.8,9.9,244.0,0.9,2.0,,Overcast,cloudy,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
13,O'Hare Chicago,2021-11-01T13:00:00,47.1,42.2,26.6,44.43,0.0,0.0,,0.0,0.0,21.1,10.8,272.0,1025.8,95.6,9.9,286.0,1.0,3.0,,Overcast,cloudy,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
14,O'Hare Chicago,2021-11-01T14:00:00,47.1,41.9,26.5,44.26,0.0,0.0,,0.0,0.0,22.9,11.8,264.0,1025.3,81.8,9.9,222.0,0.8,2.0,,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
15,O'Hare Chicago,2021-11-01T15:00:00,47.1,40.8,24.8,41.24,0.0,0.0,,0.0,0.0,23.9,15.7,260.0,1024.9,83.9,9.9,224.0,0.8,2.0,,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
16,O'Hare Chicago,2021-11-01T16:00:00,47.1,41.2,23.9,39.78,0.0,0.0,,0.0,0.0,23.7,13.8,262.0,1024.6,85.6,9.9,193.0,0.7,2.0,,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
17,O'Hare Chicago,2021-11-01T17:00:00,46.3,40.3,24.8,42.65,0.0,0.0,,0.0,0.0,21.5,13.5,272.0,1024.4,85.6,9.9,87.0,0.3,1.0,,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
18,O'Hare Chicago,2021-11-01T18:00:00,45.2,39.7,24.8,44.47,0.0,0.0,,0.0,0.0,19.7,11.2,261.0,1024.7,89.5,9.9,18.0,0.1,0.0,,Partially cloudy,partly-cloudy-night,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
19,O'Hare Chicago,2021-11-01T19:00:00,42.5,38.6,26.7,53.34,0.0,0.0,,0.0,0.0,,6.1,253.0,1025.2,88.7,9.9,5.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,TT351,74466504838,KPWK"
20,O'Hare Chicago,2021-11-01T20:00:00,42.4,37.5,26.7,53.58,0.0,0.0,,0.0,0.0,,7.9,270.0,1025.6,88.7,9.9,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
21,O'Hare Chicago,2021-11-01T21:00:00,41.1,36.4,26.6,55.95,0.0,0.0,,0.0,0.0,,7.1,264.0,1025.8,88.7,9.9,,,,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
