Detailed Statistics Departures  
Origin Airport: Chicago, IL: Chicago O'Hare International (ORD)
Airline: PSA Airlines Inc. (OH)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021 and 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","01/01/2019","5048","N510AE","DAY","22:10","22:08","61","96","-2","22:58","50","0","0","33","0","0"
"OH","01/01/2019","5157","N514AE","LEX","08:15","08:50","76","100","35","09:34","44","35","0","24","0","0"
"OH","01/01/2019","5252","N590NN","DAY","18:20","19:01","67","53","41","19:14","13","0","27","0","0","0"
"OH","01/01/2019","5398","N500AE","DAY","12:10","12:08","71","103","-2","13:07","59","0","0","30","0","0"
"OH","01/02/2019","5048","N512AE","DAY","22:10","22:12","61","59","2","22:23","11","0","0","0","0","0"
"OH","01/02/2019","5127","N545PB","STL","07:15","07:24","81","72","9","07:41","17","0","0","0","0","0"
"OH","01/02/2019","5157","N539EA","LEX","08:15","08:12","76","103","-3","08:57","45","0","0","24","0","0"
"OH","01/02/2019","5252","N503AE","DAY","18:20","18:19","67","87","-1","18:57","38","0","0","19","0","0"
"OH","01/02/2019","5398","N530EA","DAY","12:10","12:06","71","85","-4","12:39","33","0","0","0","0","0"
"OH","01/03/2019","5048","N515AE","DAY","22:10","22:04","61","60","-6","22:19","15","0","0","0","0","0"
"OH","01/03/2019","5127","N519AE","STL","07:15","07:09","81","76","-6","07:35","26","0","0","0","0","0"
"OH","01/03/2019","5157","N503AE","LEX","08:15","08:10","76","82","-5","08:33","23","0","0","0","0","0"
"OH","01/03/2019","5252","N705PS","DAY","18:20","18:18","67","66","-2","18:42","24","0","0","0","0","0"
"OH","01/03/2019","5398","N507AE","DAY","12:10","12:08","71","53","-2","12:18","10","0","0","0","0","0"
"OH","01/04/2019","5048","N725PS","DAY","22:10","22:09","61","53","-1","22:20","11","0","0","0","0","0"
"OH","01/04/2019","5127","N516AE","STL","07:15","07:10","81","68","-5","07:28","18","0","0","0","0","0"
"OH","01/04/2019","5157","N515AE","LEX","08:15","08:22","76","76","7","08:40","18","0","0","0","0","0"
"OH","01/04/2019","5252","N534EA","DAY","18:20","18:15","67","64","-5","18:35","20","0","0","0","0","0"
"OH","01/04/2019","5398","N544AE","DAY","12:10","12:04","71","58","-6","12:15","11","0","0","0","0","0"
"OH","01/05/2019","5048","N723PS","DAY","22:10","22:01","61","53","-9","22:13","12","0","0","0","0","0"
"OH","01/05/2019","5127","N534EA","STL","07:15","07:10","81","60","-5","07:18","8","0","0","0","0","0"
"OH","01/05/2019","5157","N510AE","LEX","08:15","08:15","76","82","0","08:46","31","0","0","0","0","0"
"OH","01/05/2019","5252","N564NN","DAY","18:20","18:13","67","59","-7","18:33","20","0","0","0","0","0"
"OH","01/05/2019","5398","N524EA","DAY","12:10","12:02","71","61","-8","12:24","22","0","0","0","0","0"
"OH","01/06/2019","5048","N537EA","DAY","22:05","22:01","62","58","-4","22:12","11","0","0","0","0","0"
"OH","01/06/2019","5127","N710PS","STL","07:15","07:10","80","64","-5","07:25","15","0","0","0","0","0"
"OH","01/06/2019","5157","N524EA","LEX","08:14","08:08","77","69","-6","08:20","12","0","0","0","0","0"
"OH","01/06/2019","5252","N510AE","DAY","18:19","18:16","68","80","-3","18:46","30","0","0","0","0","0"
"OH","01/06/2019","5389","N510AE","DAY","12:10","12:08","72","59","-2","12:22","14","0","0","0","0","0"
"OH","01/07/2019","5048","N705PS","DAY","22:05","22:05","62","54","0","22:16","11","0","0","0","0","0"
"OH","01/07/2019","5127","N710PS","STL","07:15","07:13","80","73","-2","07:28","15","0","0","0","0","0"
"OH","01/07/2019","5157","N577NN","LEX","08:14","08:12","77","87","-2","08:42","30","0","0","0","0","0"
"OH","01/07/2019","5252","N517AE","DAY","18:19","19:42","68","61","83","19:59","17","0","0","76","0","0"
"OH","01/07/2019","5255","N517AE","DAY","12:10","12:02","72","73","-8","12:25","23","0","0","0","0","0"
"OH","01/08/2019","5048","N545PB","DAY","22:05","22:04","62","56","-1","22:15","11","0","0","0","0","0"
"OH","01/08/2019","5127","N517AE","STL","07:15","07:10","80","72","-5","07:28","18","0","0","0","0","0"
"OH","01/08/2019","5252","N512AE","DAY","18:19","18:08","68","71","-11","18:35","27","0","0","0","0","0"
"OH","01/08/2019","5255","N512AE","DAY","12:10","12:06","72","63","-4","12:20","14","0","0","0","0","0"
"OH","01/09/2019","5048","N515AE","DAY","22:05","21:58","62","54","-7","22:09","11","0","0","0","0","0"
"OH","01/09/2019","5127","N539EA","STL","07:15","07:14","80","65","-1","07:32","18","0","0","0","0","0"
"OH","01/09/2019","5252","N516AE","DAY","18:19","18:12","68","61","-7","18:28","16","0","0","0","0","0"
"OH","01/09/2019","5255","N226JS","DAY","12:10","12:15","72","55","5","12:25","10","0","0","0","0","0"
"OH","01/10/2019","5048","N716PS","DAY","22:05","22:06","62","59","1","22:19","13","0","0","0","0","0"
"OH","01/10/2019","5127","N702PS","STL","07:15","07:13","80","62","-2","07:27","14","0","0","0","0","0"
"OH","01/10/2019","5157","N537EA","LEX","08:14","09:42","77","77","88","10:02","20","4","0","0","0","84"
"OH","01/10/2019","5252","N512AE","DAY","18:19","18:17","68","73","-2","18:48","31","0","0","0","0","0"
"OH","01/10/2019","5255","N512AE","DAY","12:10","11:59","72","75","-11","12:23","24","0","0","0","0","0"
"OH","01/11/2019","5048","N716PS","DAY","22:05","22:20","62","58","15","22:33","13","0","0","0","0","0"
"OH","01/11/2019","5127","N512AE","STL","07:15","07:11","80","74","-4","07:29","18","0","0","0","0","0"
"OH","01/11/2019","5157","N510AE","LEX","08:14","08:07","77","68","-7","08:24","17","0","0","0","0","0"
"OH","01/11/2019","5252","N514AE","DAY","18:19","18:27","68","67","8","18:50","23","0","0","0","0","0"
"OH","01/11/2019","5255","N712PS","DAY","12:10","12:10","72","61","0","12:24","14","0","0","0","0","0"
"OH","01/12/2019","5048","N500AE","DAY","22:05","22:30","62","78","25","22:56","26","0","25","16","0","0"
"OH","01/12/2019","5127","N716PS","STL","07:15","07:13","80","65","-2","07:23","10","0","0","0","0","0"
"OH","01/12/2019","5252","N720PS","DAY","18:19","19:01","68","105","42","19:48","47","0","42","37","0","0"
"OH","01/13/2019","5048","N511AE","DAY","22:05","22:04","62","72","-1","22:25","21","0","0","0","0","0"
"OH","01/13/2019","5127","N526EA","STL","07:15","07:22","80","61","7","07:33","11","0","0","0","0","0"
"OH","01/13/2019","5157","N500AE","LEX","08:14","10:00","77","70","106","10:18","18","95","0","0","0","4"
"OH","01/13/2019","5252","N513AE","DAY","18:19","18:21","68","76","2","18:50","29","0","0","0","0","0"
"OH","01/13/2019","5389","N513AE","DAY","12:10","12:08","72","75","-2","12:29","21","0","0","0","0","0"
"OH","01/14/2019","5048","N720PS","DAY","22:05","22:03","62","70","-2","22:24","21","0","0","0","0","0"
"OH","01/14/2019","5127","N511AE","STL","07:15","07:08","80","67","-7","07:25","17","0","0","0","0","0"
"OH","01/14/2019","5157","N513AE","LEX","08:14","08:05","77","73","-9","08:23","18","0","0","0","0","0"
"OH","01/14/2019","5252","N719PS","DAY","18:19","18:18","68","77","-1","18:47","29","0","0","0","0","0"
"OH","01/14/2019","5255","N719PS","DAY","12:10","12:08","72","64","-2","12:21","13","0","0","0","0","0"
"OH","01/15/2019","5048","N500AE","DAY","22:05","21:59","62","78","-6","22:30","31","0","0","0","0","0"
"OH","01/15/2019","5127","N720PS","STL","07:15","07:11","80","60","-4","07:21","10","0","0","0","0","0"
"OH","01/15/2019","5252","N719PS","DAY","18:19","18:18","68","66","-1","18:35","17","0","0","0","0","0"
"OH","01/15/2019","5255","N719PS","DAY","12:10","12:04","72","61","-6","12:13","9","0","0","0","0","0"
"OH","01/16/2019","5048","N705PS","DAY","22:05","21:56","62","60","-9","22:10","14","0","0","0","0","0"
"OH","01/16/2019","5127","N500AE","STL","07:15","07:11","80","59","-4","07:20","9","0","0","0","0","0"
"OH","01/16/2019","5252","N719PS","DAY","18:19","18:18","68","73","-1","18:47","29","0","0","0","0","0"
"OH","01/16/2019","5255","N719PS","DAY","12:10","12:08","72","62","-2","12:24","16","0","0","0","0","0"
"OH","01/17/2019","5048","N718PS","DAY","22:05","22:11","62","64","6","22:31","20","0","0","0","0","0"
"OH","01/17/2019","5127","N513AE","STL","07:15","07:18","80","88","3","07:47","29","0","0","0","0","0"
"OH","01/17/2019","5157","N705PS","LEX","08:14","08:23","77","88","9","08:57","34","0","0","11","0","9"
"OH","01/17/2019","5252","N512AE","DAY","18:19","18:28","68","90","9","19:08","40","9","0","22","0","0"
"OH","01/17/2019","5255","N512AE","DAY","12:10","12:04","72","65","-6","12:22","18","0","0","0","0","0"
"OH","01/18/2019","5048","N712PS","DAY","22:05","22:12","62","99","7","23:03","51","0","5","37","0","2"
"OH","01/18/2019","5127","N718PS","STL","07:15","07:11","80","70","-4","07:24","13","0","0","0","0","0"
"OH","01/18/2019","5157","N512AE","LEX","08:14","08:07","77","69","-7","08:22","15","0","0","0","0","0"
"OH","01/18/2019","5252","N708PS","DAY","18:19","18:18","68","66","-1","18:36","18","0","0","0","0","0"
"OH","01/18/2019","5255","N708PS","DAY","12:10","12:10","72","60","0","12:24","14","0","0","0","0","0"
"OH","01/19/2019","5048","N509AE","DAY","22:05","00:00","62","0","0","00:00","0","0","0","0","0","0"
"OH","01/19/2019","5127","","STL","07:15","00:00","80","0","0","00:00","0","0","0","0","0","0"
"OH","01/19/2019","5252","","DAY","18:19","00:00","68","0","0","00:00","0","0","0","0","0","0"
"OH","01/20/2019","5048","N502AE","DAY","22:05","22:04","62","84","-1","22:38","34","0","0","21","0","0"
"OH","01/20/2019","5127","N504AE","STL","07:15","00:00","80","0","0","00:00","0","0","0","0","0","0"
"OH","01/20/2019","5157","N245PS","LEX","08:14","08:44","77","63","30","08:55","11","0","6","0","0","10"
"OH","01/20/2019","5252","N720PS","DAY","18:19","18:22","68","78","3","18:55","33","0","0","0","0","0"
"OH","01/20/2019","5389","N720PS","DAY","12:10","12:07","72","67","-3","12:25","18","0","0","0","0","0"
"OH","01/21/2019","5048","N525EA","DAY","22:05","23:05","62","57","60","23:13","8","0","4","0","0","51"
"OH","01/21/2019","5127","N720PS","STL","07:15","07:26","80","64","11","07:37","11","0","0","0","0","0"
"OH","01/21/2019","5157","N502AE","LEX","08:14","08:23","77","72","9","08:40","17","0","0","0","0","0"
"OH","01/21/2019","5252","N515AE","DAY","18:19","18:12","68","64","-7","18:31","19","0","0","0","0","0"
"OH","01/21/2019","5255","N515AE","DAY","12:10","12:27","72","62","17","12:41","14","0","0","0","0","0"
"OH","01/22/2019","5048","N716PS","DAY","22:05","00:00","62","0","0","00:00","0","0","0","0","0","0"
"OH","01/22/2019","5127","N525EA","STL","07:15","07:15","80","80","0","07:31","16","0","0","0","0","0"
"OH","01/22/2019","5252","N705PS","DAY","18:19","00:00","68","0","0","00:00","0","0","0","0","0","0"
"OH","01/22/2019","5255","N515AE","DAY","12:10","12:08","72","83","-2","12:45","37","0","0","0","0","0"
"OH","01/23/2019","5048","N706PS","DAY","22:05","22:05","62","75","0","22:25","20","0","0","0","0","0"
