datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions
2023-01-08T00:00:00,30,24.1,22.9,74.56,0,0,,0,0,3.4,5.8,332,1028.5,100,9.9,0,,0,10,Overcast
2023-01-08T01:00:00,29.2,23.1,22.9,77.18,0,0,,0,0,2.2,5.7,344,1027.8,100,9.9,0,,0,10,Overcast
2023-01-08T02:00:00,29.1,24.1,23,77.42,0,0,,0,0,2.2,4.6,351,1027.6,100,9.9,0,,0,10,Overcast
2023-01-08T03:00:00,29.1,25.5,23,77.42,0,0,,0,0,2.2,3.4,304,1027.4,100,9.9,0,,0,10,Overcast
2023-01-08T04:00:00,30,25,24.1,78.4,0,0,,0,0,2.2,4.7,345,1026.5,100,9.9,0,,0,10,Overcast
2023-01-08T05:00:00,30,30,24.1,78.4,0,0,,0,0,2.2,0.5,5,1026.6,100,9.9,0,,0,10,Overcast
2023-01-08T06:00:00,30,30,24.1,78.6,0,0,,0,0,2.2,0.5,4,1026.2,100,9.9,0,,0,10,Overcast
2023-01-08T07:00:00,30,30,24.1,78.6,0,0,,0,0,2.2,0.4,2,1025.8,100,9.9,0,,0,10,Overcast
2023-01-08T08:00:00,30,30,24.1,78.55,0,0,,0,0,2.2,0.4,3,1025.5,100,9.9,18,0.1,0,10,Overcast
2023-01-08T09:00:00,30.9,30.9,25,78.49,0,0,,0,0,2.2,0.1,354,1025.5,100,9.9,29,0.1,0,10,Overcast
2023-01-08T10:00:00,31,31,23,71.96,0,0,,0,0,3.4,0.2,355,1025.5,100,9.9,62,0.2,1,10,Overcast
2023-01-08T11:00:00,32,28.9,24.1,72.44,0,0,,0,0,3.4,3.3,216,1024.8,99.6,9.9,112,0.4,1,10,Overcast
2023-01-08T12:00:00,32.1,32.1,24.1,72.21,0,0,,0,0,4.7,0.1,359,1023.8,99.6,9.9,133,0.5,1,10,Overcast
2023-01-08T13:00:00,31.9,31.9,26,78.45,0,0,,0,0,4.7,2.2,270,1022,95,11,230,0.8,2,10,Overcast
2023-01-08T14:00:00,33,27.6,26,75.12,0,0,,0,0,5.8,5.8,280,1022,89,10.1,119,0.4,1,10,Partially cloudy
2023-01-08T15:00:00,31.9,26.3,26,78.45,0,0,,0,0,5.8,5.8,270,1023,84,10.9,94,0.3,1,10,Partially cloudy
2023-01-08T16:00:00,31,26.2,26,81.35,0,0,,0,0,4.7,4.7,270,1022,83,10.6,31,0.1,0,10,Partially cloudy
2023-01-08T17:00:00,29.9,23.9,26,85,0,0,,0,0,5.8,5.8,270,1022,81,9.2,0,0,0,10,Partially cloudy
2023-01-08T18:00:00,29,22.8,26,88.17,0,0,,0,0,5.8,5.8,260,1022,80,8.9,0,,0,10,Partially cloudy
2023-01-08T19:00:00,29,22.8,26,88.17,0,0,,0,0,5.8,5.8,260,1023,73,8.8,0,,0,10,Partially cloudy
2023-01-08T20:00:00,29,22,26,88.17,0,0,,0,0,6.9,6.9,260,1024,65,8.6,0,,0,10,Partially cloudy
2023-01-08T21:00:00,27.9,20.7,25.1,88.78,0,0,,0,0,6.9,6.9,260,1023,58,8,0,,0,10,Partially cloudy
2023-01-08T22:00:00,27.9,20.7,25.1,88.78,0,0,,0,0,6.9,6.9,250,1022,56,10.1,0,,0,10,Partially cloudy
2023-01-08T23:00:00,27,19.6,25.1,92.13,0,0,,0,0,6.9,6.9,250,1021,54,8.8,0,,0,10,Partially cloudy
2023-01-09T00:00:00,27,19.6,24,88.07,0,2,,0,0,6.9,6.9,250,1021,53,8,0,,0,10,Partially cloudy
2023-01-09T01:00:00,26,18.3,24,92.09,0,2,,0,0,6.9,6.9,250,1021,51,8.6,0,,0,10,Partially cloudy
2023-01-09T02:00:00,26,17.5,24,92.09,0,2,,0,0,8.1,8.1,250,1021,50,9.6,0,,0,10,Partially cloudy
2023-01-09T03:00:00,26,17.5,22.9,88.02,0,1,,0,0,8.1,8.1,250,1020,49,9.4,0,,0,10,Partially cloudy
2023-01-09T04:00:00,26,17.5,22.9,88.02,0,1,,0,0,8.1,8.1,250,1021,52,9.4,0,,0,10,Partially cloudy
2023-01-09T05:00:00,26,18.3,22.9,88.02,0,1,,0,0,6.9,6.9,240,1021,56,10,0,,0,10,Partially cloudy
2023-01-09T06:00:00,26,18.3,22.9,88.02,0,0,,0,0,6.9,6.9,240,1022,59,9.7,0,,0,10,Partially cloudy
2023-01-09T07:00:00,26,18.3,22.9,88.02,0,0,,0,0,8.1,6.9,230,1021,59,9.4,0,,0,10,Partially cloudy
2023-01-09T08:00:00,27,18.8,22.9,84.17,0,0,,0,0,10.3,8.1,230,1021,59,8.9,62,0.2,1,10,Partially cloudy
2023-01-09T09:00:00,27.9,19.9,24,84.87,0,0,,0,0,11.4,8.1,230,1021,58,9.4,181,0.7,2,10,Partially cloudy
2023-01-09T10:00:00,29.9,22.3,25.1,81.88,0,0,,0,0,11.4,8.1,230,1021,56,9.6,305,1.1,3,10,Partially cloudy
2023-01-09T11:00:00,34.1,27.3,26,71.94,0,0,,0,0,11.4,8.1,230,1021,53,10.4,416,1.5,4,10,Partially cloudy
