name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
O'Hare Chicago,2022-07-01T00:00:00,80.2,80.5,57,45.08,0,0,,0,0,19.7,10,219,1013.4,81.8,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-07-01T01:00:00,79.3,79.3,57,46.49,0,0,,0,0,24.4,9.2,210,1013.1,82.3,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-07-01T02:00:00,78.4,78.4,57,47.9,0,0,,0,0,16.3,10.1,210,1012.6,81.8,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-07-01T03:00:00,77.2,77.2,57,49.71,0,0,,0,0,23.7,9.1,219,1012.4,82.3,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-07-01T04:00:00,76.1,76.1,57,51.51,0,0,,0,0,21.9,8.1,220,1012.1,82.3,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-07-01T05:00:00,75.1,75.1,57.9,55.04,0,0,,0,0,17.2,8.9,219,1011.9,81.8,9.9,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-07-01T06:00:00,75.1,75.1,57.9,55.04,0,0,,0,0,16.6,8.7,219,1011.9,89.5,9.9,25,0.1,0,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-07-01T07:00:00,75.3,75.3,58.9,56.79,0,0,,0,0,15.4,6.9,251,1012.5,82.3,9.9,58,0.2,1,5,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-07-01T08:00:00,76.2,76.2,59.1,55.44,0,0,,0,0,13,5.8,260,1012.7,84.5,9.9,209,0.8,2,5,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-07-01T09:00:00,78.4,78.4,60.2,53.7,0,0,,0,0,12.1,7.6,291,1012.9,89.2,9.9,163,0.6,2,5,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'Hare Chicago,2022-07-01T10:00:00,80.2,81.2,61.2,52.41,0,0,,0,0,7.6,8.2,10,1013.3,84.2,9.9,833,3,8,5,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
