name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
O'hare Chicago,2022-11-11T00:00:00,16.2,16.2,8.8,61.46,0,0,,0,0,47.9,18.1,209,1010.2,55,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T01:00:00,15,15,8.3,64.46,0,0,,0,0,31,17.3,238,1010.2,51.9,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T02:00:00,13.4,13.4,8.8,73.88,0,0,,0,0,23.8,11.5,271,1009.8,32.2,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T03:00:00,11.8,11.8,7.9,77.11,0,0,,0,0,22.3,17.7,300,1009.8,52.7,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T04:00:00,10.1,10.1,5.8,74.7,0,0,,0,0,21.6,20.3,309,1010.2,26.6,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T05:00:00,9.4,6.4,5,74.26,0,0,,0,0,25.9,21.9,309,1010.2,52.7,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T06:00:00,8.9,6.6,5,76.57,0,0,,0,0,25.6,14.5,292,1009.6,83.9,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T07:00:00,7.9,4.8,3.9,75.71,0,0,,0,0,33.5,20.1,283,1010.1,89.5,16,7,0,0,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T08:00:00,7.3,4.8,3.3,75.93,0,0,,0,0,19.4,13.4,299,1009.9,100,16,44,0.2,0,10,Overcast,cloudy,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T09:00:00,6.2,2.7,2.3,75.86,0,0,,0,0,20.2,20,291,1011.1,100,16,54,0.2,1,10,Overcast,cloudy,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T10:00:00,6.8,3.6,0.8,65.58,0,0,,0,0,33.5,17.4,289,1010.9,85.6,16,128,0.5,1,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T11:00:00,6.8,3.7,0.6,64.8,0,0,,0,0,28.8,17,281,1011,83.9,16,220,0.8,2,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T12:00:00,7,3.5,-1.2,55.98,0,0,,0,0,33.7,21,283,1010.8,27.7,16,362,1.3,4,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T13:00:00,7.2,3.7,-2.1,51.49,0,0,,0,0,36.4,21.4,309,1010.4,25.7,16,417,1.5,4,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T14:00:00,6.8,3.2,-3.2,48.83,0,0,,0,0,42.5,20.8,291,1010.2,46.1,16,357,1.3,4,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T15:00:00,5.8,1.7,-3.8,50.08,0,0,,0,0,26.3,23.7,295,1010.5,46.1,16,192,0.7,2,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T16:00:00,5,0.9,-3.9,52.53,0,0,,0,0,35.3,21.8,292,1011.1,24.5,16,23,0.1,0,10,Partially cloudy,partly-cloudy-day,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T17:00:00,3.4,-1,-4.3,56.89,0,0,,0,0,35.3,20.9,300,1011.9,24.5,16,10,0,0,10,Partially cloudy,partly-cloudy-night,"72534014819,AP878,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T18:00:00,2.3,-3,-5,58.67,0,0,,0,0,44.2,25.5,292,1012.8,24.5,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T19:00:00,1.2,-3,-5.7,60.32,0,0,,0,0,30,15.4,300,1013.2,51.9,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
O'hare Chicago,2022-11-11T20:00:00,0.7,-4.9,-6.2,60.1,0,0,,0,0,35.4,24.4,308,1013.8,89.5,16,0,,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,72530094846,KMDW,74466504838,KPWK"
